index,variable,cluster
0,kills,2
1,deaths,4
2,assists,6
3,doublekills,2
4,triplekills,2
5,quadrakills,2
6,pentakills,2
7,firstblood,6
8,firstbloodkill,2
9,firstbloodassist,6
10,firstbloodvictim,4
11,firstdragon,0
12,dragons,0
13,opp_dragons,0
14,elementaldrakes,0
15,opp_elementaldrakes,0
16,infernals,0
17,mountains,0
18,clouds,0
19,oceans,0
20,chemtechs,0
21,hextechs,0
22,dragons (type unknown),0
23,elders,0
24,opp_elders,0
25,firstherald,0
26,heralds,0
27,opp_heralds,0
28,void_grubs,0
29,opp_void_grubs,0
30,firstbaron,0
31,barons,0
32,opp_barons,0
33,atakhans,0
34,opp_atakhans,0
35,firsttower,0
36,towers,0
37,opp_towers,0
38,firstmidtower,0
39,firsttothreetowers,0
40,turretplates,0
41,opp_turretplates,0
42,inhibitors,2
43,opp_inhibitors,0
44,damagetochampions,1
45,dpm,1
46,damageshare,1
47,damagetakenperminute,0
48,damagemitigatedperminute,0
49,damagetotowers,2
50,wardsplaced,5
51,wpm,5
52,wardskilled,5
53,wcpm,5
54,controlwardsbought,5
55,visionscore,5
56,vspm,5
57,totalgold,1
58,earnedgold,1
59,earned gpm,1
60,earnedgoldshare,1
61,goldspent,1
62,gspd,0
63,gpr,0
64,total cs,1
65,minionkills,1
66,monsterkills,0
67,monsterkillsownjungle,0
68,monsterkillsenemyjungle,0
69,cspm,1
70,goldat10,1
71,xpat10,1
72,csat10,1
73,opp_goldat10,1
74,opp_xpat10,1
75,opp_csat10,1
76,golddiffat10,3
77,xpdiffat10,3
78,csdiffat10,3
79,killsat10,2
80,assistsat10,6
81,deathsat10,4
82,opp_killsat10,0
83,opp_assistsat10,4
84,opp_deathsat10,6
85,goldat15,1
86,xpat15,1
87,csat15,1
88,opp_goldat15,1
89,opp_xpat15,1
90,opp_csat15,1
91,golddiffat15,3
92,xpdiffat15,3
93,csdiffat15,3
94,killsat15,2
95,assistsat15,6
96,deathsat15,4
97,opp_killsat15,0
98,opp_assistsat15,4
99,opp_deathsat15,6
100,goldat20,1
101,xpat20,1
102,csat20,1
103,opp_goldat20,1
104,opp_xpat20,1
105,opp_csat20,1
106,golddiffat20,3
107,xpdiffat20,3
108,csdiffat20,3
109,killsat20,2
110,assistsat20,6
111,deathsat20,4
112,opp_killsat20,0
113,opp_assistsat20,4
114,opp_deathsat20,6
115,goldat25,1
116,xpat25,1
117,csat25,1
118,opp_goldat25,1
119,opp_xpat25,1
120,opp_csat25,1
121,golddiffat25,3
122,xpdiffat25,3
123,csdiffat25,3
124,killsat25,2
125,assistsat25,6
126,deathsat25,4
127,opp_killsat25,0
128,opp_assistsat25,4
129,opp_deathsat25,6
